match_number,date,time_local,group,home_team,away_team,predicted_score,predicted_score_outcome,predicted_score_probability,top_scorelines,ensemble_home_win,ensemble_draw,ensemble_away_win,form_poisson_home_expected_goals,form_poisson_away_expected_goals,most_likely_outcome,most_likely_probability
47,2026-06-23,12:00 p.m.,K,Portugal,Uzbekistan,1-0,home_win,0.1319969012010913,1-0 (0.132); 1-1 (0.122); 2-0 (0.101); 2-1 (0.093); 0-0 (0.087),0.6264716299278548,0.2257719059502187,0.1477564641219265,1.5236081178096612,0.9224506439830108,home_win,0.6264716299278548
48,2026-06-23,8:00 p.m.,K,Colombia,DR Congo,0-0,draw,0.1672192039489728,0-0 (0.167); 1-0 (0.155); 0-1 (0.144); 1-1 (0.134); 2-0 (0.072),0.6330814883685949,0.2364815028999329,0.1304370087314723,0.9284827339847338,0.8599670017006089,home_win,0.6330814883685949
49,2026-06-24,6:00 p.m.,C,Scotland,Brazil,1-1,draw,0.110583840348108,1-1 (0.111); 1-2 (0.093); 0-1 (0.084); 2-1 (0.073); 0-2 (0.070),0.1865834713422839,0.2228524418828465,0.5905640867748695,1.3186806009383365,1.6768529563399883,away_win,0.5905640867748695
50,2026-06-24,6:00 p.m.,C,Morocco,Haiti,1-0,home_win,0.1703951934875004,1-0 (0.170); 2-0 (0.147); 1-1 (0.100); 0-0 (0.099); 2-1 (0.087),0.6911607970914383,0.2211239142242379,0.0877152886843237,1.7279089296179364,0.5886400359109566,home_win,0.6911607970914383
51,2026-06-24,12:00 p.m.,B,Switzerland,Canada,1-1,draw,0.1347205736145079,1-1 (0.135); 1-0 (0.127); 0-1 (0.125); 0-0 (0.118); 2-1 (0.073),0.4555490202260684,0.2314699250585672,0.3129810547153643,1.0791974696749569,1.057137593338508,home_win,0.4555490202260684
52,2026-06-24,12:00 p.m.,B,Bosnia and Herzegovina,Qatar,1-1,draw,0.1276572036082292,1-1 (0.128); 1-0 (0.118); 0-1 (0.093); 2-1 (0.087); 0-0 (0.086),0.5383328753268855,0.227447907042123,0.2342192176309915,1.370334172077159,1.081186026598851,home_win,0.5383328753268855
53,2026-06-24,7:00 p.m.,A,Czech Republic,Mexico,1-1,draw,0.1288057242167647,1-1 (0.129); 0-1 (0.116); 1-0 (0.097); 0-0 (0.088); 1-2 (0.085),0.2340552081919721,0.2278413345915506,0.5381034572164773,1.106164563317137,1.3274262771480732,away_win,0.5381034572164773
54,2026-06-24,7:00 p.m.,A,South Africa,South Korea,0-1,away_win,0.1385621219492032,0-1 (0.139); 1-1 (0.133); 0-0 (0.116); 1-0 (0.111); 0-2 (0.083),0.1757575384821905,0.2308103138537276,0.5934321476640819,0.9592658613288086,1.1969340799029589,away_win,0.5934321476640819
55,2026-06-25,4:00 p.m.,E,Curaçao,Ivory Coast,0-2,away_win,0.1126110886147054,0-2 (0.113); 0-1 (0.101); 1-2 (0.097); 1-1 (0.088); 0-3 (0.083),0.0933993485936143,0.2148656639908893,0.6917349874154962,0.8655697155809382,2.2213502263019764,away_win,0.6917349874154962
56,2026-06-25,4:00 p.m.,E,Ecuador,Germany,0-1,away_win,0.1560907159694178,0-1 (0.156); 1-1 (0.129); 0-0 (0.122); 1-0 (0.101); 0-2 (0.100),0.2961358577622039,0.2303954279622758,0.4734687142755202,0.8251608140376264,1.275479108869585,away_win,0.4734687142755202
57,2026-06-25,6:00 p.m.,F,Japan,Sweden,2-1,home_win,0.0948229496748693,2-1 (0.095); 2-0 (0.092); 3-1 (0.078); 1-1 (0.077); 3-0 (0.076),0.5982639681777638,0.2127885314551022,0.1889475003671339,2.473256722139648,1.0308934574311128,home_win,0.5982639681777638
58,2026-06-25,6:00 p.m.,F,Tunisia,Netherlands,0-1,away_win,0.1043272300313414,0-1 (0.104); 1-1 (0.104); 0-2 (0.100); 1-2 (0.099); 0-3 (0.064),0.106754831890457,0.2198566031296004,0.6733885649799426,0.992699603449224,1.919695613435536,away_win,0.6733885649799426
59,2026-06-25,7:00 p.m.,D,Turkey,United States,1-1,draw,0.0874348855693819,1-1 (0.087); 2-1 (0.083); 1-2 (0.075); 2-2 (0.071); 3-1 (0.053),0.4324970455348565,0.2196562984640138,0.3478466560011297,1.9051471929307844,1.716662044331682,home_win,0.4324970455348565
60,2026-06-25,7:00 p.m.,D,Paraguay,Australia,0-1,away_win,0.1711407485307673,0-1 (0.171); 0-2 (0.121); 0-0 (0.121); 1-1 (0.119); 1-2 (0.085),0.2902195937362664,0.227893101196331,0.4818873050674026,0.6962121696877357,1.4190322448648025,away_win,0.4818873050674026
61,2026-06-26,3:00 p.m.,I,Norway,France,1-1,draw,0.0967855853398033,1-1 (0.097); 2-1 (0.090); 1-2 (0.072); 2-2 (0.067); 1-0 (0.065),0.2908728423603073,0.220595751495162,0.4885314061445306,1.8674701446284423,1.4934969957207669,away_win,0.4885314061445306
62,2026-06-26,3:00 p.m.,I,Senegal,Iraq,1-0,home_win,0.1906096665991379,1-0 (0.191); 0-0 (0.142); 2-0 (0.128); 1-1 (0.116); 0-1 (0.087),0.5893891962371717,0.2296773705518648,0.1809334332109634,1.3405732399332797,0.6100518312361267,home_win,0.5893891962371717
63,2026-06-26,8:00 p.m.,G,Egypt,Iran,0-1,away_win,0.170142846714644,0-1 (0.170); 0-0 (0.162); 1-1 (0.131); 1-0 (0.125); 0-2 (0.089),0.2787375629761032,0.2353483169275007,0.485914120096396,0.7700135176608812,1.0477154704698926,away_win,0.485914120096396
64,2026-06-26,8:00 p.m.,G,New Zealand,Belgium,0-2,away_win,0.0986757746367336,0-2 (0.099); 1-2 (0.094); 0-3 (0.083); 1-3 (0.079); 0-1 (0.078),0.0858943479014735,0.2115543251474089,0.7025513269511175,0.9504608665230326,2.5243116901355,away_win,0.7025513269511175
65,2026-06-26,7:00 p.m.,H,Cape Verde,Saudi Arabia,1-0,home_win,0.144294888280158,1-0 (0.144); 0-0 (0.135); 1-1 (0.135); 0-1 (0.126); 2-0 (0.077),0.3550318909747618,0.2330965504611981,0.4118715585640401,1.0687065368353443,0.933638799021208,away_win,0.4118715585640401
66,2026-06-26,6:00 p.m.,H,Uruguay,Spain,0-1,away_win,0.1654392583946941,0-1 (0.165); 0-2 (0.130); 1-1 (0.112); 0-0 (0.105); 1-2 (0.088),0.1328368387597012,0.2246868277861732,0.6424763334541255,0.67887483527404,1.5737185008305663,away_win,0.6424763334541255
67,2026-06-27,5:00 p.m.,L,Panama,England,0-2,away_win,0.1333285743754771,0-2 (0.133); 0-1 (0.128); 1-2 (0.094); 0-3 (0.092); 1-1 (0.091),0.1116148066969159,0.2157589929536296,0.6726262003494544,0.7066329548096756,2.077522617853951,away_win,0.6726262003494544
68,2026-06-27,5:00 p.m.,L,Croatia,Ghana,1-0,home_win,0.1109724127594814,1-0 (0.111); 1-1 (0.109); 2-0 (0.100); 2-1 (0.099); 0-0 (0.062),0.6789119955517096,0.2215160820572756,0.0995719223910149,1.8028298205127848,0.9850045535806992,home_win,0.6789119955517096
69,2026-06-27,9:00 p.m.,J,Algeria,Austria,1-0,home_win,0.1315950220372941,1-0 (0.132); 1-1 (0.131); 0-0 (0.103); 0-1 (0.103); 2-0 (0.084),0.3663677779805552,0.2293740792189732,0.4042581428004716,1.2722089498849554,0.996571978134696,away_win,0.4042581428004716
70,2026-06-27,9:00 p.m.,J,Jordan,Argentina,0-2,away_win,0.1514662876114643,0-2 (0.151); 0-1 (0.132); 0-3 (0.116); 1-2 (0.085); 1-1 (0.074),0.0539959602269011,0.2108223427948735,0.7351816969782252,0.5604830804697194,2.296991758058591,away_win,0.7351816969782252
71,2026-06-27,7:30 p.m.,K,Colombia,Portugal,1-1,draw,0.1112900550870052,1-1 (0.111); 1-2 (0.093); 0-1 (0.085); 2-1 (0.073); 0-2 (0.071),0.3769515869473153,0.2229848869688926,0.400063526083792,1.308418115383317,1.6671084346628,away_win,0.400063526083792
72,2026-06-27,7:30 p.m.,K,DR Congo,Uzbekistan,0-0,draw,0.2368010622356184,0-0 (0.237); 1-0 (0.186); 0-1 (0.155); 1-1 (0.122); 2-0 (0.073),0.3243107126743477,0.2432834293177956,0.4324058580078568,0.7859433001456217,0.6545915910377074,away_win,0.4324058580078568
