match_number,round,first_team,second_team,pairing_probability,first_advancement_probability,second_advancement_probability,simulation_count,most_likely_advancing_team,most_likely_advancement_probability
77,round_of_32,Senegal,Paraguay,0.008,0.600055297473493,0.399944702526507,16,Senegal,0.600055297473493
77,round_of_32,France,Iran,0.0075,0.7462419432453634,0.2537580567546366,15,France,0.7462419432453634
77,round_of_32,Norway,Paraguay,0.0075,0.7471978551299108,0.2528021448700892,15,Norway,0.7471978551299108
77,round_of_32,France,New Zealand,0.007,0.9175489909424144,0.0824510090575857,14,France,0.9175489909424144
77,round_of_32,France,Paraguay,0.007,0.8351638589614918,0.1648361410385082,14,France,0.8351638589614918
77,round_of_32,Senegal,New Zealand,0.007,0.8035121065793353,0.1964878934206647,14,Senegal,0.8035121065793353
77,round_of_32,France,Belgium,0.0065,0.6154139434718525,0.3845860565281475,13,France,0.6154139434718525
77,round_of_32,Iraq,Tunisia,0.0065,0.5028050896301888,0.4971949103698112,13,Iraq,0.5028050896301888
77,round_of_32,Senegal,Australia,0.0065,0.4766844207920677,0.5233155792079323,13,Australia,0.5233155792079323
77,round_of_32,Iraq,Japan,0.006,0.1341417297886538,0.8658582702113462,12,Japan,0.8658582702113462
77,round_of_32,Iraq,Netherlands,0.006,0.1404725820298626,0.8595274179701374,12,Netherlands,0.8595274179701374
77,round_of_32,Senegal,Belgium,0.006,0.3363724694824379,0.6636275305175621,12,Belgium,0.6636275305175621
77,round_of_32,Senegal,Saudi Arabia,0.006,0.7944506713098071,0.2055493286901929,12,Senegal,0.7944506713098071
77,round_of_32,Senegal,Uruguay,0.006,0.4759842185574694,0.5240157814425306,12,Uruguay,0.5240157814425306
77,round_of_32,France,Saudi Arabia,0.0055,0.9157929781313726,0.0842070218686273,11,France,0.9157929781313726
77,round_of_32,Norway,Australia,0.0055,0.6353705199690232,0.3646294800309768,11,Norway,0.6353705199690232
77,round_of_32,Norway,Cape Verde,0.0055,0.8920292593344769,0.1079707406655231,11,Norway,0.8920292593344769
77,round_of_32,Iraq,Egypt,0.0045,0.3400915075141187,0.6599084924858812,9,Egypt,0.6599084924858812
77,round_of_32,France,Australia,0.004,0.7442911633850414,0.2557088366149586,8,France,0.7442911633850414
77,round_of_32,France,Cape Verde,0.0035,0.9194038894055526,0.0805961105944473,7,France,0.9194038894055526
77,round_of_32,France,Uruguay,0.0035,0.7521619179742991,0.2478380820257009,7,France,0.7521619179742991
77,round_of_32,Iraq,United States,0.0035,0.2510954050348125,0.7489045949651875,7,United States,0.7489045949651875
77,round_of_32,Iraq,Saudi Arabia,0.003,0.5410101054230442,0.4589898945769558,6,Iraq,0.5410101054230442
77,round_of_32,Iraq,Belgium,0.0025,0.1342263112305145,0.8657736887694855,5,Belgium,0.8657736887694855
77,round_of_32,Iraq,Uruguay,0.0025,0.2259837699747098,0.7740162300252902,5,Uruguay,0.7740162300252902
77,round_of_32,Norway,Saudi Arabia,0.0025,0.8802070102300908,0.1197929897699091,5,Norway,0.8802070102300908
77,round_of_32,Iraq,Iran,0.002,0.2274064205799841,0.7725935794200158,4,Iran,0.7725935794200158
77,round_of_32,Iraq,Turkey,0.002,0.214795694560526,0.785204305439474,4,Turkey,0.785204305439474
77,round_of_32,Senegal,Cape Verde,0.002,0.8175168712786473,0.1824831287213527,4,Senegal,0.8175168712786473
77,round_of_32,Iraq,Spain,0.0015,0.0652775858241366,0.9347224141758632,3,Spain,0.9347224141758632
77,round_of_32,Senegal,Spain,0.0015,0.175792476901529,0.824207523098471,3,Spain,0.824207523098471
77,round_of_32,France,Spain,0.001,0.3826772296872214,0.6173227703127786,2,Spain,0.6173227703127786
77,round_of_32,Iraq,Australia,0.001,0.2208620791519703,0.7791379208480297,2,Australia,0.7791379208480297
77,round_of_32,France,Haiti,0.0005,0.897256522300809,0.102743477699191,1,France,0.897256522300809
77,round_of_32,Iraq,New Zealand,0.0005,0.5516925197307269,0.4483074802692731,1,Iraq,0.5516925197307269
77,round_of_32,Iraq,Paraguay,0.0005,0.3208499905976273,0.6791500094023726,1,Paraguay,0.6791500094023726
77,round_of_32,Norway,Scotland,0.0005,0.7145967079197463,0.2854032920802537,1,Norway,0.7145967079197463
77,round_of_32,Norway,Spain,0.0005,0.2712914493733124,0.7287085506266875,1,Spain,0.7287085506266875
77,round_of_32,Senegal,Brazil,0.0005,0.296544451945832,0.703455548054168,1,Brazil,0.703455548054168
77,round_of_32,Senegal,Morocco,0.0005,0.3196560763834244,0.6803439236165756,1,Morocco,0.6803439236165756
77,round_of_32,Senegal,Scotland,0.0005,0.5641035407073182,0.4358964592926818,1,Senegal,0.5641035407073182
78,round_of_32,Ivory Coast,Senegal,0.137,0.500391281229019,0.499608718770981,274,Ivory Coast,0.500391281229019
78,round_of_32,Ivory Coast,Norway,0.1215,0.3480488441110279,0.6519511558889721,243,Norway,0.6519511558889721
78,round_of_32,Germany,Senegal,0.12,0.6950693893429436,0.3049306106570564,240,Germany,0.6950693893429436
78,round_of_32,Germany,Norway,0.113,0.5509906922313266,0.4490093077686734,226,Germany,0.5509906922313266
78,round_of_32,Ivory Coast,France,0.111,0.2483688646551094,0.7516311353448906,222,France,0.7516311353448906
78,round_of_32,Germany,France,0.099,0.4211949017114909,0.5788050982885091,198,France,0.5788050982885091
78,round_of_32,Ivory Coast,Iraq,0.056,0.764669571899616,0.2353304281003839,112,Ivory Coast,0.764669571899616
78,round_of_32,Germany,Iraq,0.049,0.8805079838506095,0.1194920161493905,98,Germany,0.8805079838506095
78,round_of_32,Ecuador,Senegal,0.0465,0.5991406973158481,0.4008593026841519,93,Ecuador,0.5991406973158481
78,round_of_32,Ecuador,Norway,0.044,0.4377262459402396,0.5622737540597604,88,Norway,0.5622737540597604
78,round_of_32,Ecuador,France,0.0425,0.3094850096817192,0.6905149903182808,85,France,0.6905149903182808
78,round_of_32,Ecuador,Iraq,0.021,0.8214103932013904,0.1785896067986095,42,Ecuador,0.8214103932013904
78,round_of_32,Curaçao,Norway,0.016,0.0685418663290937,0.9314581336709062,32,Norway,0.9314581336709062
78,round_of_32,Curaçao,France,0.009,0.0559934280726898,0.9440065719273102,18,France,0.9440065719273102
78,round_of_32,Curaçao,Iraq,0.0075,0.3112003858305535,0.6887996141694466,15,Iraq,0.6887996141694466
78,round_of_32,Curaçao,Senegal,0.007,0.118656700834324,0.8813432991656759,14,Senegal,0.8813432991656759
79,round_of_32,Mexico,Ecuador,0.0815,0.5071213304136917,0.4928786695863083,163,Mexico,0.5071213304136917
79,round_of_32,South Korea,Ecuador,0.0665,0.3656711998228385,0.6343288001771614,133,Ecuador,0.6343288001771614
79,round_of_32,Mexico,Uruguay,0.0645,0.5827992089002594,0.4172007910997406,129,Mexico,0.5827992089002594
79,round_of_32,Mexico,Cape Verde,0.061,0.8626742250086212,0.1373257749913787,122,Mexico,0.8626742250086212
